,car_name,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,car_prices_in_dollar,car_nick_name,price_class
0,Jeep Compass 2.0 Longitude Option BSIV,86226,Diesel,Manual,1,2017,1956,5,12108.416599999999,Jeep,low-class
1,Renault Duster RXZ Turbo CVT,13248,Petrol,Automatic,1,2021,1330,5,15488.6326,Renault,low-class
2,Toyota Camry 2.5 G,60343,Petrol,Automatic,1,2016,2494,5,19798.408,Toyota,low-class
3,Honda Jazz VX CVT,26696,Petrol,Automatic,1,2018,1199,5,9380.0994,Honda,low-class
4,Volkswagen Polo 1.2 MPI Highline,69414,Petrol,Manual,1,2016,1199,5,6217.183000000001,Volkswagen,low-class
5,Volkswagen Vento 1.2 TSI Highline AT,49719,Petrol,Automatic,1,2017,1197,5,9247.3052,Volkswagen,low-class
6,Volkswagen Vento 1.2 TSI Highline Plus AT,43688,Petrol,Automatic,1,2017,1197,5,9150.7276,Volkswagen,low-class
7,Honda WR-V VX Diesel,14470,Diesel,Manual,1,2021,1498,5,14003.752,Honda,low-class
8,Honda City i VTEC CVT SV,21429,Petrol,Automatic,1,2015,1497,5,8438.4678,Honda,low-class
9,Renault Duster Petrol RXS CVT,31750,Petrol,Automatic,1,2017,1498,5,9090.366600000001,Renault,low-class
10,Maruti Baleno 1.2 Alpha,38203,Petrol,Manual,1,2017,1197,5,7762.4246,Maruti,low-class
11,Honda City i VTEC CVT SV,110284,Petrol,Automatic,1,2014,1497,5,6555.2046,Honda,low-class
12,Mahindra XUV300 W6,10381,Petrol,Manual,1,2020,1197,5,10406.2364,Mahindra,low-class
13,Jeep Compass 1.4 Limited Plus BSIV,32378,Petrol,Automatic,1,2019,1368,5,20257.1516,Jeep,low-class
14,Honda City V MT,38906,Petrol,Manual,1,2020,1498,5,12108.416599999999,Honda,low-class
15,Hyundai Grand i10 AT Asta,59313,Petrol,Automatic,2,2016,1197,5,6796.6486,Hyundai,low-class
16,Hyundai i20 1.4 Asta,85672,Diesel,Manual,1,2017,1396,5,8052.1574,Hyundai,low-class
17,Maruti Ciaz 1.4 Delta,34971,Petrol,Manual,2,2017,1373,5,8124.5906,Maruti,low-class
18,Nissan Micra XL Optional,35894,Petrol,Manual,2,2015,1198,5,3875.1762,Nissan,low-class
19,Maruti Ciaz Alpha Automatic BSIV,56000,Petrol,Automatic,1,2019,1462,5,10261.37,Maruti,low-class
20,Maruti Swift Dzire VXI,56568,Petrol,Manual,1,2014,1197,5,5239.3348,Maruti,low-class
21,Renault KWID RXT,48872,Petrol,Manual,1,2017,799,5,3754.4542,Renault,low-class
22,Renault KWID RXL BSIV,17346,Petrol,Manual,1,2019,799,5,4466.714,Renault,low-class
23,Jeep Compass 2.0 Limited Plus BSIV,15414,Diesel,Manual,1,2019,1956,5,19170.6536,Jeep,low-class
24,Hyundai Grand i10 1.2 Kappa Magna BSIV,21239,Petrol,Manual,1,2018,1197,5,6531.0602,Hyundai,low-class
25,Maruti Alto K10 LXI,62361,Petrol,Manual,1,2014,998,5,2692.1006,Maruti,low-class
26,Hyundai Verna 1.6 VTVT S Option,79329,Petrol,Manual,2,2015,1591,5,7098.4536,Hyundai,low-class
27,Hyundai Tucson GLS AT,11945,Petrol,Automatic,1,2021,1999,5,27500.4716,Hyundai,low-class
28,Maruti Swift Dzire VXI 1.2,51324,Petrol,Manual,1,2018,1197,5,7388.1864000000005,Maruti,low-class
29,Nissan Magnite XV Premium,5717,Petrol,Manual,1,2021,999,5,8981.7168,Nissan,low-class
30,Honda City i VTEC CVT VX,46417,Petrol,Automatic,1,2016,1497,5,10128.5758,Honda,low-class
31,Honda Amaze S i-Vtech,100161,Petrol,Manual,1,2015,1198,5,5070.3240000000005,Honda,low-class
32,Hyundai Grand i10 Sportz,35424,Petrol,Manual,1,2016,1197,5,5927.4502,Hyundai,low-class
33,Hyundai EON Era Plus,51085,Petrol,Manual,1,2017,814,5,3537.1546000000003,Hyundai,low-class
34,Maruti Alto 800 LXI,30983,Petrol,Manual,1,2016,796,5,3597.5156,Maruti,low-class
35,Renault KWID RXL,32681,Petrol,Manual,1,2016,799,5,3138.7720000000004,Renault,low-class
36,Hyundai EON Magna Plus,57581,Petrol,Manual,2,2014,814,5,2873.1836,Hyundai,low-class
37,Honda Jazz 1.2 V AT i VTEC,39821,Petrol,Automatic,1,2016,1199,5,7303.681,Honda,low-class
38,Maruti Alto 800 LXI,21186,Petrol,Manual,1,2018,796,5,3899.3206,Maruti,low-class
39,Renault KWID RXL,34972,Petrol,Manual,1,2018,799,5,3935.5371999999998,Renault,low-class
40,Honda Amaze S i-Vtech,46623,Petrol,Manual,2,2015,1198,5,5082.3962,Honda,low-class
41,Kia Seltos GTX Plus,18557,Petrol,Manual,1,2019,1353,5,18748.1266,Kia,low-class
42,Jeep Compass 2.0 Limited,58463,Diesel,Manual,1,2017,1956,5,15005.7446,Jeep,low-class
43,MG Hector Plus Sharp DCT,5000,Petrol,Automatic,1,2020,1451,6,22333.57,MG,low-class
44,Tata Harrier XZ BSIV,66000,Diesel,Manual,1,2019,1956,5,19194.798000000003,Tata,low-class
45,Renault Duster Petrol RXS CVT,14000,Petrol,Automatic,1,2019,1498,5,10744.258,Renault,low-class
46,BMW 5 Series 520d Luxury Line,61000,Diesel,Automatic,1,2019,1995,5,51910.46,BMW,low-class
